sku,link 1,link 2,link 3,link 4,link 5,link 6,link 7,link 8,link 9
127463,https://storage.googleapis.com/mktplacealpha/inverno25novos/127463_1-20260610163919-19321543.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127463_2-20260610163919-36af803a.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127463_3-20260610163919-bc42952d.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127463_4-20260610163920-f3c1171e.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127463_5-20260610163920-0265d831.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127463_6-20260610163920-e1f3f5d7.jpg,,,
127464,https://storage.googleapis.com/mktplacealpha/inverno25novos/127464_1-20260610163916-511da2ab.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127464_2-20260610163916-596c424a.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127464_3-20260610163916-df565556.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127464_4-20260610163917-d75df30d.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127464_5-20260610163917-932827e7.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127464_6-20260610163917-ce15c960.jpg,,,
127465,https://storage.googleapis.com/mktplacealpha/inverno25novos/127465_1-20260610163917-d88070d2.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127465_2-20260610163917-57b91b83.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127465_3-20260610163918-05229cec.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127465_4-20260610163918-c3f0c94a.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127465_5-20260610163918-b6b7f144.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127465_6-20260610163919-4f3a6c4f.jpg,,,
127466,https://storage.googleapis.com/mktplacealpha/inverno25novos/127466_1-20260610163913-8ff49711.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127466_2-20260610163912-953f4a45.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127466_3-20260610163913-edd85c6d.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127466_4-20260610163913-66730b51.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127466_5-20260610163914-a5b38bad.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127466_6-20260610163914-464960e0.jpg,,,
127467,https://storage.googleapis.com/mktplacealpha/inverno25novos/127467_1-20260610163914-962bf30d.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127467_2-20260610163914-1d305d59.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127467_3-20260610163914-1e67154c.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127467_4-20260610163915-b488c0bf.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127467_5-20260610163915-b3c03e99.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127467_6-20260610163915-c2852109.jpg,,,
127468,https://storage.googleapis.com/mktplacealpha/inverno25novos/127468_1-20260610163921-35cf10ed.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127468_2-20260610163920-ed480225.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127468_3-20260610163921-1625e606.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127468_4-20260610163921-fa7b2478.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127468_5-20260610163922-82584915.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127468_6-20260610163922-2af1c840.jpg,,,
127469,https://storage.googleapis.com/mktplacealpha/inverno25novos/127469_1-20260610163938-f45e57f2.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127469_2-20260610163938-bb9acebc.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127469_3-20260610163939-66950c78.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127469_4-20260610163939-1cd92298.jpg,,,,,
127470,https://storage.googleapis.com/mktplacealpha/inverno25novos/127470_1-20260610164044-8dc8c1af.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127470_2-20260610164044-a5f15db3.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127470_3-20260610164044-9d3dbf14.jpg,https://storage.googleapis.com/mktplacealpha/inverno25novos/127470_4-20260610164044-8df13088.jpg,,,,,
127471,https://storage.googleapis.com/mktplacealpha/inverno25novos/127471_1-20260610163847-b5f628de.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127471_2-20260610163848-59a90161.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127471_3-20260610163848-70686e9f.jpg,,,,,,
127472,https://storage.googleapis.com/mktplacealpha/inverno25novos/127472_1-20260610163845-796a7b96.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127472_2-20260610163845-bfc3d83d.png,https://storage.googleapis.com/mktplacealpha/inverno25novos/127472_3-20260610163845-ed3700e2.jpg,,,,,,
